City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Aripuanã,-9.1667,-60.6333,72.79,99,100,1.59,BR,1639890999
Voh,-20.9667,164.7,83.34,64,56,7.72,NC,1639891000
Bluff,-46.6,168.3333,66.79,64,61,16.17,NZ,1639890830
Rikitea,-23.1203,-134.9692,77.5,74,100,12.33,PF,1639891000
George Town,5.4112,100.3354,79.9,85,40,4.61,MY,1639890783
Thompson,55.7435,-97.8558,-16.44,76,75,4.61,CA,1639891001
Gilgit,35.9221,74.3087,29.34,30,16,1.57,PK,1639891001
Nanortalik,60.1432,-45.2371,34.65,89,100,14.52,GL,1639891001
Butaritari,3.0707,172.7902,82.24,80,53,16.28,KI,1639891001
Ponta Delgada,37.7333,-25.6667,60.49,94,75,8.05,PT,1639891001
Bredasdorp,-34.5322,20.0403,64.27,88,99,5.75,ZA,1639891002
Kalabo,-14.97,22.6814,68.77,76,100,2.68,ZM,1639891002
Ulladulla,-35.35,150.4667,82.87,66,100,20.94,AU,1639891002
Vinh,18.6667,105.6667,65.23,60,88,10.02,VN,1639891002
Atuona,-9.8,-139.0333,78.24,75,32,14.61,PF,1639891003
Ponta do Sol,32.6667,-17.1,66.83,86,81,18.1,PT,1639890830
Guerrero Negro,27.9769,-114.0611,59.83,39,0,10.89,MX,1639891003
Belmonte,-15.8631,-38.8828,75.7,85,100,6.62,BR,1639891003
Lata,40.1629,-8.3327,50.81,77,29,6.15,PT,1639891004
Albany,42.6001,-73.9662,38.68,93,100,2.28,US,1639891004
Dikson,73.5069,80.5464,-26.55,95,68,4.7,RU,1639891004
Punta Arenas,-53.15,-70.9167,51.91,71,75,28.77,CL,1639891005
Port Alfred,-33.5906,26.891,66.76,74,82,20.11,ZA,1639890755
Lebu,-37.6167,-73.65,55.36,94,10,17.47,CL,1639890761
Hobart,-42.8794,147.3294,64.26,58,75,5.01,AU,1639891005
Vaini,-21.2,-175.2,84.36,89,20,10.36,TO,1639891005
Barrow,71.2906,-156.7887,-2.18,71,90,8.05,US,1639891006
Agüimes,27.9054,-15.4461,61.66,77,20,3.44,ES,1639891006
Antsohihy,-14.8796,47.9875,83.19,73,22,2.89,MG,1639891006
Wakkanai,45.4094,141.6739,22.98,74,75,12.66,JP,1639890937
Mar del Plata,-38.0023,-57.5575,66.87,91,0,17.0,AR,1639891006
Ushuaia,-54.8,-68.3,44.26,100,75,39.12,AR,1639891007
Castro,-24.7911,-50.0119,60.69,88,89,8.72,BR,1639890760
Lompoc,34.6391,-120.4579,48.13,93,1,0.0,US,1639891007
Barbosa Ferraz,-24.03,-52.0117,71.17,77,20,5.44,BR,1639891007
East London,-33.0153,27.9116,68.94,68,0,9.22,ZA,1639891008
Grindavik,63.8424,-22.4338,46.87,100,75,19.57,IS,1639891008
Aksarayskiy,46.7924,48.0119,33.75,70,100,15.05,RU,1639891008
Ozinki,51.1786,49.6769,24.21,97,100,7.49,RU,1639891008
Port Antonio,18.18,-76.4612,78.71,82,5,6.6,JM,1639891009
Maryborough,-25.5333,152.7,84.99,45,66,7.94,AU,1639891009
Piatra Neamţ,46.9167,26.3333,33.78,85,97,6.44,RO,1639891009
Olafsvik,64.8945,-23.7142,44.82,97,100,20.29,IS,1639890977
Pont-Saint-Esprit,44.2549,4.6474,34.2,86,0,5.03,FR,1639891009
Bonavista,48.6499,-53.1147,27.12,83,100,38.77,CA,1639891010
Chui,-33.6971,-53.4616,62.38,84,0,8.5,UY,1639891010
Sinnamary,5.3833,-52.95,77.2,88,13,5.82,GF,1639891010
Jamestown,42.097,-79.2353,33.12,98,90,5.01,US,1639891011
Hilo,19.7297,-155.09,73.27,49,90,3.44,US,1639891011
Mataura,-46.1927,168.8643,66.47,49,90,12.28,NZ,1639891011
Ashland,40.8167,-82.2665,34.3,96,100,11.5,US,1639891011
Kaitangata,-46.2817,169.8464,75.45,45,61,11.81,NZ,1639891011
Yelizovo,53.1873,158.3805,12.34,51,0,1.99,RU,1639891012
Champerico,14.3,-91.9167,80.04,80,56,8.25,GT,1639891012
Saint-Augustin,51.226,-58.6502,12.6,66,25,22.44,CA,1639890828
Samarai,-10.6167,150.6667,83.43,72,99,14.07,PG,1639891012
Fortuna,40.5982,-124.1573,50.94,85,90,8.99,US,1639891013
Beyşehir,37.6773,31.7246,31.15,97,100,6.08,TR,1639891013
Clyde River,70.4692,-68.5914,5.23,85,99,8.05,CA,1639891013
Tiksi,71.6872,128.8694,-22.59,100,100,5.68,RU,1639891013
Vila Franca do Campo,37.7167,-25.4333,60.19,89,99,16.31,PT,1639891014
Saint-Philippe,-21.3585,55.7679,84.11,71,46,1.39,RE,1639890970
Port Blair,11.6667,92.75,83.5,67,86,12.71,IN,1639891014
Bulgan,48.8125,103.5347,25.84,45,6,11.45,MN,1639891014
Naze,28.3667,129.4833,58.5,52,50,17.31,JP,1639890750
Busselton,-33.65,115.3333,80.04,46,0,11.7,AU,1639891015
Touros,-5.1989,-35.4608,79.7,77,57,12.01,BR,1639891015
Avarua,-21.2078,-159.775,78.85,73,20,5.75,CK,1639891015
Itatinga,-23.1017,-48.6158,60.33,93,51,8.59,BR,1639891015
Carnarvon,-24.8667,113.6333,82.47,54,0,23.02,AU,1639891016
Saint Paul Harbor,57.79,-152.4072,30.56,80,68,9.1,US,1639890764
New Norfolk,-42.7826,147.0587,63.9,49,100,5.99,AU,1639891016
Sistranda,63.7256,8.834,39.9,71,100,31.18,NO,1639891016
Qaanaaq,77.484,-69.3632,9.3,75,100,8.23,GL,1639891016
Pecos,31.4229,-103.4932,47.05,28,89,10.51,US,1639891017
Saýat,38.7839,63.8803,55.27,21,99,1.43,TM,1639891017
Codrington,-38.2667,141.9667,63.59,44,51,25.26,AU,1639891017
Manitouwadge,49.1215,-85.8403,3.92,95,74,2.17,CA,1639891017
Jumla,29.2747,82.1838,45.32,10,0,5.59,NP,1639891018
Mogadishu,2.0371,45.3438,80.85,81,80,16.6,SO,1639890954
Provideniya,64.3833,-173.3,3.69,97,100,19.19,RU,1639891019
Najrān,17.4924,44.1277,59.65,27,11,2.86,SA,1639891019
Isla Vista,34.4133,-119.861,59.43,65,1,3.44,US,1639891019
Yaypan,40.3758,70.8156,43.39,20,98,4.43,UZ,1639891019
Mount Gambier,-37.8333,140.7667,64.31,45,40,25.32,AU,1639891019
Tasiilaq,65.6145,-37.6368,32.16,96,100,14.16,GL,1639891020
Castiglione del Lago,43.1271,12.0453,37.89,89,8,1.5,IT,1639891020
Narsaq,60.9167,-46.05,44.82,91,100,9.46,GL,1639890970
Ust'-Ishim,57.6935,71.1665,9.21,93,100,9.64,RU,1639891020
Cape Town,-33.9258,18.4232,67.12,78,0,6.91,ZA,1639891021
Katangli,51.7102,143.2326,-1.16,80,5,11.18,RU,1639891021
Ştefan cel Mare,46.9833,26.5167,35.29,79,98,6.33,RO,1639891021
Klyuchi,52.2667,79.1667,20.23,88,100,8.55,RU,1639891022
